Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
ANGPT1	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin family
ANGPT2	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin family
ANGPTL1	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin-like protein family
ANGPTL2	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin-like protein family
ANGPTL3	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin-like protein family
ANGPTL4	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin-like protein family
ANGPTL7	Secreted Signaling	Growth Factors & Cytokines	Angiopoietins	Angiopoietins	Angiopoietin-like protein family
CD1D	Cell-Cell Contact	Immune	Antigen Presentation	MHC - like	CD Family
HLA-A	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-B	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-C	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-E	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-F	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-G	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class I	HLA Family
HLA-DPA1	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DPB1	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DQA1	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DMA	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DMB	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DQA2	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DOA	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DOB	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DQB1	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DRA	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DRB1	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DRB3	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DRB4	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
HLA-DRB5	Cell-Cell Contact	Immune	Antigen Presentation	MHC Class II	HLA Family
BMP10	Secreted Signaling	Growth Factors & Cytokines	BMPs	BMPs	BMP Family
BMP15	Secreted Signaling	Growth Factors & Cytokines	BMPs	BMPs	BMP Family
BMP4	Secreted Signaling	Growth Factors & Cytokines	BMPs	BMPs	BMP Family
BMP8A	Secreted Signaling	Growth Factors & Cytokines	BMPs	BMPs	BMP Family
BMP8B	Secreted Signaling	Growth Factors & Cytokines	BMPs	BMPs	BMP Family
CDH15	Cell-Cell Contact	CAM	Cadherins	Cadherins	Cadherin Family
CDH4	Cell-Cell Contact	CAM	Cadherins	Cadherins	Cadherin Family
CDH2	Cell-Cell Contact	CAM	Cadherins	Cadherins	Cadherin Family
CDH1	Cell-Cell Contact	CAM	Cadherins	Cadherins	Cadherin Family
CDH5	Cell-Cell Contact	CAM	Cadherins	Cadherins	Cadherin Family
CCL1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL11	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL13	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL14	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL15	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL16	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL17	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL18	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL19	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL2	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL20	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL21	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL22	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL23	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL24	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL25	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL26	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL27	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL28	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL3	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL3L1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL3L3	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL4	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL5	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL7	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CCL8	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	CC Chemokine Subfamily
CX3CL1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL10	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL11	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL12	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL13	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL16	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL2	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL3	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL5	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL6	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL8	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
CXCL9	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
PF4	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
PF4V1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
PPBP	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	C-X-C Motif Chemokine Ligand Family
RARRES2	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	Chemerin Family
XCL1	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	XC Class Chemokines
XCL2	Secreted Signaling	Growth Factors & Cytokines	Chemokines	Chemokines	XC Class Chemokines
COL1A1	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL1A2	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL2A1	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A1	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A2	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A3	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A4	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A5	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL4A6	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL6A1	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL6A2	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL6A3	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL6A5	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL6A6	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL9A1	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL9A2	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
COL9A3	ECM-Receptor	ECM	Collagens	Collagens	Collagen Family
C3	Secreted Signaling	Immune	Complement System	Complement Component	Complement Component Family
C4A	Secreted Signaling	Immune	Complement System	Complement Component	Complement Component Family
C5	Secreted Signaling	Immune	Complement System	Complement Component	Complement Component Family
CSF2	Secreted Signaling	Growth Factors & Cytokines	CSFs	Colony-Stimulating Factors	GM-CSF Family
CSF1	Secreted Signaling	Growth Factors & Cytokines	CSFs	Colony-Stimulating Factors	Colony stimulating factor family
CSF3	Secreted Signaling	Growth Factors & Cytokines	CSFs	Colony-Stimulating Factors	Colony stimulating factor family
FLT3LG	Secreted Signaling	Growth Factors & Cytokines	CSFs	Colony-Stimulating Factors	Hematopoietic growth factor family
DSC1	Cell-Cell Contact	CAM	Desmosome	Desmosomal Proteins	Desmosome Family
DSC2	Cell-Cell Contact	CAM	Desmosome	Desmosomal Proteins	Desmosome Family
DSG1	Cell-Cell Contact	CAM	Desmosome	Desmosomal Proteins	Desmosome Family
DSG2	Cell-Cell Contact	CAM	Desmosome	Desmosomal Proteins	Desmosome Family
EDN1	Secreted Signaling	Growth Factors & Cytokines	Endothelins	Endothelins	Endothelin family
EDN2	Secreted Signaling	Growth Factors & Cytokines	Endothelins	Endothelins	Endothelin family
EDN3	Secreted Signaling	Growth Factors & Cytokines	Endothelins	Endothelins	Endothelin family
EFNA1	Cell-Cell Contact	Developmental	Ephrins	Ephrin Signaling	Ephrins
