1:65000-70000	OR4F5
1:450000-455000	OR4F29
1:685000-690000	OR4F16
1:920000-925000	SAMD11
1:955000-960000	NOC2L
1:960000-965000	KLHL17
1:965000-970000	PLEKHN1
1:980000-985000	PERM1
1:1000000-1005000	HES4
1:1000000-1005000	ISG15
1:1020000-1025000	AGRN
1:1070000-1075000	RNF223
1:1115000-1120000	C1orf159
1:1170000-1175000	TTLL10
1:1205000-1210000	TNFRSF18
1:1210000-1215000	TNFRSF4
1:1230000-1235000	SDF4
1:1230000-1235000	B3GALT6
1:1245000-1250000	C1QTNF12
1:1270000-1275000	UBE2J2
1:1280000-1285000	SCNN1D
1:1305000-1310000	ACAP3
1:1305000-1310000	PUSL1
1:1320000-1325000	INTS11
1:1320000-1325000	CPTP
1:1330000-1335000	TAS1R3
1:1345000-1350000	DVL1
1:1360000-1365000	MXRA8
1:1375000-1380000	AURKAIP1
1:1395000-1400000	CCNL2
1:1405000-1410000	MRPL20
1:1420000-1425000	ANKRD65
1:1425000-1430000	TMEM88B
1:1430000-1435000	VWA1
1:1445000-1450000	ATAD3C
1:1470000-1475000	ATAD3B
1:1510000-1515000	ATAD3A
1:1540000-1545000	TMEM240
1:1570000-1575000	SSU72
1:1600000-1605000	FNDC10
1:1615000-1620000	MIB2
1:1630000-1635000	MMP23B
1:1655000-1660000	CDK11B
1:1690000-1695000	SLC35E2B
1:1720000-1725000	CDK11A
1:1780000-1785000	NADK
1:1890000-1895000	GNB1
1:1915000-1920000	CALML6
1:1915000-1920000	TMEM52
1:2000000-2005000	CFAP74
1:2015000-2020000	GABRD
1:2050000-2055000	PRKCZ
1:2210000-2215000	FAAP20
1:2225000-2230000	SKI
1:2390000-2395000	MORN1
1:2390000-2395000	RER1
1:2410000-2415000	PEX10
1:2425000-2430000	PLCH2
1:2525000-2530000	PANK4
1:2530000-2535000	HES5
1:2555000-2560000	TNFRSF14
1:2585000-2590000	PRXL2B
1:2630000-2635000	MMEL1
1:2800000-2805000	TTC34
1:3020000-3025000	ACTRT2
1:3065000-3070000	PRDM16
1:3450000-3455000	ARHGEF16
1:3610000-3615000	MEGF6
1:3625000-3630000	TPRG1L
1:3650000-3655000	WRAP73
1:3650000-3655000	TP73
1:3745000-3750000	CCDC27
1:3770000-3775000	SMIM1
1:3795000-3800000	LRRC47
1:3855000-3860000	CEP104
1:3855000-3860000	DFFB
1:3900000-3905000	C1orf174
1:4650000-4655000	AJAP1
1:5990000-5995000	NPHP4
1:5990000-5995000	KCNAB2
1:6180000-6185000	CHD5
1:6195000-6200000	RP1-120G22.12
1:6205000-6210000	RPL22
1:6205000-6210000	RNF207
1:6235000-6240000	ICMT
1:6240000-6245000	HES3
1:6260000-6265000	GPR153
1:6390000-6395000	ACOT7
1:6420000-6425000	HES2
1:6420000-6425000	ESPN
1:6465000-6470000	TNFRSF25
1:6520000-6525000	PLEKHG5
1:6550000-6555000	NOL9
1:6555000-6560000	TAS1R1
1:6575000-6580000	ZBTB48
1:6610000-6615000	KLHL21
1:6610000-6615000	PHF13
1:6620000-6625000	THAP3
1:6700000-6705000	DNAJC11
1:6785000-6790000	CAMTA1
1:7770000-7775000	VAMP3
1:7780000-7785000	PER3
1:7850000-7855000	UTS2
1:7940000-7945000	TNFRSF9
1:7950000-7955000	PARK7
1:8025000-8030000	ERRFI1
1:8315000-8320000	SLC45A1
1:8845000-8850000	RERE
1:8875000-8880000	ENO1
1:8945000-8950000	CA6
1:9025000-9030000	SLC2A7
1:9085000-9090000	SLC2A5
1:9125000-9130000	GPR157
1:9230000-9235000	H6PD
1:9290000-9295000	SPSB1
1:9535000-9540000	SLC25A33
1:9585000-9590000	TMEM201
1:9650000-9655000	PIK3CD
1:9820000-9825000	CLSTN1
1:9910000-9915000	CTNNBIP1
1:9940000-9945000	LZIC
1:9940000-9945000	NMNAT1
1:9995000-10000000	RBP7
1:10030000-10035000	UBE4B
1:10210000-10215000	KIF1B
1:10395000-10400000	PGD
1:10430000-10435000	CENPS-CORT
1:10430000-10435000	CENPS
1:10450000-10455000	CORT
1:10470000-10475000	DFFA
1:10470000-10475000	PEX14
1:10795000-10800000	CASZ1
