"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:10371","RPLP0","ribosomal protein lateral stalk subunit P0","","PRLP0,P0,L10E,RPP0,LP0,uL10","12q24.23"
"HGNC:10372","RPLP1","ribosomal protein lateral stalk subunit P1","","LP1","15q23"
"HGNC:10377","RPLP2","ribosomal protein lateral stalk subunit P2","D11S2243E","P2,RPP2,MGC71408,LP2","11p15.5"
"HGNC:10332","RPL3","ribosomal protein L3","","L3,uL3","22q13.1"
"HGNC:10351","RPL3L","ribosomal protein L3 like","","","16p13.3"
"HGNC:10353","RPL4","ribosomal protein L4","","L4,uL4","15q22.31"
"HGNC:10360","RPL5","ribosomal protein L5","","L5,PPP1R135,uL18","1p22.1"
"HGNC:10362","RPL6","ribosomal protein L6","TXREB1","TAXREB107,L6,eL6","12q24.13"
"HGNC:10363","RPL7","ribosomal protein L7","","humL7-1,L7,uL30","8q21.11"
"HGNC:10364","RPL7A","ribosomal protein L7a","","SURF3,TRUP,L7A,eL8","9q34.2"
"HGNC:21370","RPL7L1","ribosomal protein L7 like 1","","dJ475N16.4","6p21.1"
"HGNC:10368","RPL8","ribosomal protein L8","","L8,uL2","8q24.3"
"HGNC:10369","RPL9","ribosomal protein L9","","L9,uL6","4p14"
"HGNC:10298","RPL10","ribosomal protein L10","","NOV,QM,DXS648E,DXS648,FLJ23544,L10,uL16","Xq28"
"HGNC:10299","RPL10A","ribosomal protein L10a","NEDD6","Csa-19,L10A,uL1","6p21.31"
"HGNC:17976","RPL10L","ribosomal protein L10 like","","","14q21.2"
"HGNC:10301","RPL11","ribosomal protein L11","","L11,uL5","1p36.11"
"HGNC:10302","RPL12","ribosomal protein L12","","L12,uL11","9q33.3"
"HGNC:10303","RPL13","ribosomal protein L13","","D16S444E,BBC1,L13,eL13","16q24.3"
"HGNC:10304","RPL13A","ribosomal protein L13a","TSTA1","L13A,uL13","19q13.33"
"HGNC:10305","RPL14","ribosomal protein L14","","L14,hRL14,RL14,CTG-B33,eL14","3p22.1"
"HGNC:10306","RPL15","ribosomal protein L15","","RPL10,RPLY10,RPYL10,EC45,L15,eL15","3p24.2"
"HGNC:10307","RPL17","ribosomal protein L17","","rpL23,L17,uL22","18q21.1"
"HGNC:10310","RPL18","ribosomal protein L18","","L18,eL18","19q13.33"
"HGNC:10311","RPL18A","ribosomal protein L18a","","L18A,eL20","19p13.11"
"HGNC:10312","RPL19","ribosomal protein L19","","FLJ27452,MGC71997,DKFZp779D216,L19,eL19","17q12"
"HGNC:10313","RPL21","ribosomal protein L21","","L21,FLJ27458,MGC71252,MGC104274,MGC104275,DKFZp686C06101,eL21","13q12.2"
"HGNC:10315","RPL22","ribosomal protein L22","","EAP,L22","1p36.31"
"HGNC:27610","RPL22L1","ribosomal protein L22 like 1","","","3q26.2"
"HGNC:10316","RPL23","ribosomal protein L23","","rpL17,L23,uL14","17q12"
"HGNC:10317","RPL23A","ribosomal protein L23a","","L23A,uL23","17q11.2"
"HGNC:10325","RPL24","ribosomal protein L24","","L24,eL24","3q12.3"
"HGNC:10327","RPL26","ribosomal protein L26","","L26,uL24","17p13.1"
"HGNC:17050","RPL26L1","ribosomal protein L26 like 1","RPL26P1","","5q35.1"
"HGNC:10328","RPL27","ribosomal protein L27","","L27,eL27","17q21.31"
"HGNC:10329","RPL27A","ribosomal protein L27a","","L27A,uL15","11p15.4"
"HGNC:10330","RPL28","ribosomal protein L28","","FLJ43307,L28,eL28","19q13.42"
"HGNC:10331","RPL29","ribosomal protein L29","RPL29P10","HIP,HUMRPL29,L29,eL29","3p21.2"
"HGNC:10333","RPL30","ribosomal protein L30","","L30,eL30","8q22.2"
"HGNC:10334","RPL31","ribosomal protein L31","","L31,eL31","2q11.2"
"HGNC:10336","RPL32","ribosomal protein L32","","L32,eL32","3p25.2"
"HGNC:10340","RPL34","ribosomal protein L34","","L34,eL34","4q25"
"HGNC:10344","RPL35","ribosomal protein L35","","L35,uL29","9q33.3"
"HGNC:10345","RPL35A","ribosomal protein L35a","","L35A,eL33,GIG33","3q29"
"HGNC:13631","RPL36","ribosomal protein L36","","DKFZp566B023,L36,eL36","19p13.3"
"HGNC:10359","RPL36A","ribosomal protein L36a","RPL44","L36A,eL42","Xq22.1"
"HGNC:10346","RPL36AL","ribosomal protein L36a like","RPL36A,RPL36AP42","","14q21.3"
"HGNC:10347","RPL37","ribosomal protein L37","","L37,eL37","5p13.1"
"HGNC:10348","RPL37A","ribosomal protein L37a","","L37A","2q35"
"HGNC:10349","RPL38","ribosomal protein L38","","L38,eL38","17q25.1"
"HGNC:10350","RPL39","ribosomal protein L39","RPL39P42","L39,eL39","Xq24"
"HGNC:17094","RPL39L","ribosomal protein L39 like","RPL39L1","","3q27.3"
"HGNC:12458","UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1","","RPL40,CEP52,HUBCEP52,MGC57125,MGC126879,MGC126881,L40","19p13.1-p12"
"HGNC:10354","RPL41","ribosomal protein L41","","L41,eL41","12q13"
